country,MoneyCount,Budget
Australia,1.0,44618000000
China,1.0,250000000000
China,2.0,250000000000
China,3.0,250000000000
China,4.0,250000000000
China,5.0,250000000000
China,6.0,250000000000
Germany,1.0,50300000000
India,1.0,49600000000
Japan,1.0,47482740000
Russia,1.0,154000000000
Russia,2.0,154000000000
Russia,3.0,154000000000
Saudi Arabia,1.0,46000000000
South Korea,1.0,46320000000
United Kingdom,1.0,68000000000
United States of America,1.0,770000000000
United States of America,2.0,770000000000
United States of America,3.0,770000000000
United States of America,4.0,770000000000
United States of America,5.0,770000000000
United States of America,6.0,770000000000
United States of America,7.0,770000000000
United States of America,8.0,770000000000
United States of America,9.0,770000000000
United States of America,10.0,770000000000
United States of America,11.0,770000000000
United States of America,12.0,770000000000
United States of America,13.0,770000000000
United States of America,14.0,770000000000
United States of America,15.0,770000000000
United States of America,16.0,770000000000
United States of America,17.0,770000000000
United States of America,18.0,770000000000
United States of America,19.0,770000000000
