Country,Gold_Count,Silver_Count,Bronze_Count,Zero_Count
,,,,
Denmark,174,223,166,0
,,,,
Finland,198,263,415,0
,,,,
Norway,299,330,281,0
,,,,
Taifun,5,0,0,0
,,,,
France,461,525,594,0
,,,,
Belarus,24,44,71,0
,,,,
Cameroon,20,1,1,0
,,,,
Spain,110,243,136,0
,,,,
Italy,549,526,502,0
,,,,
United States of America,2491,1526,1257,0
,,,,
Pakistan,42,45,34,0
,,,,
Soviet Union,1080,732,689,0
,,,,
Uzbekistan,10,7,17,0
,,,,
Azerbaijan,7,12,25,0
,,,,
Unified Team,127,71,81,0
,,,,
Japan,247,309,357,0
,,,,
Canada,438,423,420,0
,,,,
Vesper Boat Club,18,0,0,0
,,,,
Ethiopia,22,9,22,0
,,,,
Bulgaria,54,144,144,0
,,,,
Hungary,432,332,371,0
,,,,
Great Britain,543,604,594,0
,,,,
Jordan,1,0,0,0
,,,,
Sweden,451,482,509,0
,,,,
New Zealand,85,56,82,0
,,,,
Switzerland,172,245,265,0
,,,,
Argentina,91,84,91,0
,,,,
Germany,721,651,711,0
,,,,
Brazil,109,175,191,0
,,,,
Romania,161,200,292,0
,,,,
Netherlands,277,321,392,0
,,,,
"Large boat, Central Naval Prep School ""Poros""",17,0,0,0
,,,,
Cuba,164,127,116,0
,,,,
Indonesia,11,17,13,0
,,,,
East Germany,397,327,281,0
,,,,
Australia,344,453,513,0
,,,,
Union des Socits Franais de Sports Athletiques,17,12,0,0
,,,,
Ukraine,47,52,100,0
,,,,
Nigeria,23,30,46,0
,,,,
Turkey,40,27,28,0
,,,,
Bissbi,4,0,0,0
,,,,
Russia,390,367,401,0
,,,,
Uganda,2,3,2,0
,,,,
Individual Olympic Athletes,1,1,3,0
,,,,
United Arab Emirates,1,0,1,0
,,,,
Lithuania,6,7,48,0
,,,,
Armenia,2,5,9,0
,,,,
Serbia,15,29,41,0
,,,,
India,138,19,40,0
,,,,
Greece,42,76,64,0
,,,,
Belgium,95,161,159,0
,,,,
Austria,107,186,156,0
,,,,
Heira II,9,0,0,0
,,,,
Nykjbings paa Falster,5,0,0,0
,,,,
South Korea,221,232,185,0
,,,,
North Korea,16,16,35,0
,,,,
Yugoslavia,130,167,93,0
,,,,
Poland,117,195,253,0
,,,,
Uruguay,31,2,30,0
,,,,
West Germany,159,194,233,0
,,,,
Norna,4,0,0,0
,,,,
Magda IX,10,0,0,0
,,,,
Morocco,6,5,12,0
,,,,
Mexico,30,26,51,0
,,,,
