country,ShipCount,Ships
China,1.0,777
China,2.0,777
China,3.0,777
China,4.0,777
China,5.0,777
China,6.0,777
China,7.0,777
Colombia,1.0,450
Colombia,2.0,450
Colombia,3.0,450
Colombia,4.0,450
India,1.0,295
India,2.0,295
Indonesia,1.0,296
Indonesia,2.0,296
North Korea,1.0,450
North Korea,2.0,450
North Korea,3.0,450
North Korea,4.0,450
Russia,1.0,605
Russia,2.0,605
Russia,3.0,605
Russia,4.0,605
Russia,5.0,605
Russia,6.0,605
Sri Lanka,1.0,275
Sri Lanka,2.0,275
Sweden,1.0,316
Sweden,2.0,316
Sweden,3.0,316
Thailand,1.0,292
Thailand,2.0,292
United States of America,1.0,484
United States of America,2.0,484
United States of America,3.0,484
United States of America,4.0,484
