country,PlanesCount,Planes
,,
China,1,3285
,,
China,2,3285
,,
China,3,3285
,,
Egypt,1,1062
,,
France,1,1055
,,
India,1,2182
,,
India,2,2182
,,
Japan,1,1449
,,
Pakistan,1,1387
,,
Russia,1,4173
,,
Russia,2,4173
,,
Russia,3,4173
,,
Russia,4,4173
,,
South Korea,1,1595
,,
Turkey,1,1057
,,
United States of America,1,13247
,,
United States of America,2,13247
,,
United States of America,3,13247
,,
United States of America,4,13247
,,
United States of America,5,13247
,,
United States of America,6,13247
,,
United States of America,7,13247
,,
United States of America,8,13247
,,
United States of America,9,13247
,,
United States of America,10,13247
,,
United States of America,11,13247
,,
United States of America,12,13247
,,
United States of America,13,13247
,,
Greenland,1,11200
,,
Greenland,2,11200
,,
Greenland,3,11200
,,
Greenland,4,11200
,,
Greenland,5,11200
,,
Greenland,6,11200
,,
Greenland,7,11200
,,
Greenland,8,11200
,,
Greenland,9,11200
,,
Greenland,10,11200
,,
Greenland,11,11200
,,
Togo,1,1800000
,,
Togo,2,1800000
,,
Togo,3,1800000
,,
Togo,4,1800000
,,
Togo,5,1800000
,,
Togo,6,1800000
,,
Togo,7,1800000
,,
Togo,8,1800000
,,
Togo,9,1800000
,,
Togo,10,1800000
,,
Togo,11,1800000
,,
Togo,12,1800000
,,
Togo,13,1800000
,,
Togo,14,1800000
,,
Togo,15,1800000
,,
Togo,16,1800000
,,
Togo,17,1800000
,,
Togo,18,1800000
,,
Togo,19,1800000
,,
Togo,20,1800000
,,
Togo,21,1800000
,,
Togo,22,1800000
,,
Togo,23,1800000
,,
Togo,24,1800000
,,
Togo,25,1800000
,,
Togo,26,1800000
,,
Togo,27,1800000
,,
Togo,28,1800000
,,
Togo,29,1800000
,,
Togo,30,1800000
,,
Togo,31,1800000
,,
Togo,32,1800000
,,
Togo,33,1800000
,,
Togo,34,1800000
,,
Togo,35,1800000
,,
Togo,36,1800000
,,
Togo,37,1800000
,,
Togo,38,1800000
,,
Togo,39,1800000
,,
Togo,40,1800000
,,
Togo,41,1800000
,,
Togo,42,1800000
,,
Togo,43,1800000
,,
Togo,44,1800000
,,
Togo,45,1800000
,,
Togo,46,1800000
,,
Togo,47,1800000
,,
Togo,48,1800000
,,
Togo,49,1800000
,,
Togo,50,1800000
,,
Togo,51,1800000
,,
Togo,52,1800000
,,
Togo,53,1800000
,,
Togo,54,1800000
,,
Togo,55,1800000
,,
Togo,56,1800000
,,
Togo,57,1800000
,,
Togo,58,1800000
,,
Togo,59,1800000
,,
Togo,60,1800000
,,
Togo,61,1800000
,,
Togo,62,1800000
,,
Togo,63,1800000
,,
Togo,64,1800000
,,
Togo,65,1800000
,,
Togo,66,1800000
,,
Togo,67,1800000
,,
Togo,68,1800000
,,
Togo,69,1800000
,,
Togo,70,1800000
,,
Togo,71,1800000
,,
Togo,72,1800000
,,
Togo,73,1800000
,,
Togo,74,1800000
,,
Togo,75,1800000
,,
Togo,76,1800000
,,
Togo,77,1800000
,,
Togo,78,1800000
,,
Togo,79,1800000
,,
Togo,80,1800000
,,
Togo,81,1800000
,,
Togo,82,1800000
,,
Togo,83,1800000
,,
Togo,84,1800000
,,
Togo,85,1800000
,,
Togo,86,1800000
,,
Togo,87,1800000
,,
Togo,88,1800000
,,
Togo,89,1800000
,,
Togo,90,1800000
,,
Togo,91,1800000
,,
Togo,92,1800000
,,
Togo,93,1800000
,,
Togo,94,1800000
,,
Togo,95,1800000
,,
Togo,96,1800000
,,
Togo,97,1800000
,,
Togo,98,1800000
,,
Togo,99,1800000
,,
Togo,100,1800000
,,
Togo,101,1800000
,,
Togo,102,1800000
,,
Togo,103,1800000
,,
Togo,104,1800000
,,
Togo,105,1800000
,,
Togo,106,1800000
,,
Togo,107,1800000
,,
Togo,108,1800000
,,
Togo,109,1800000
,,
Togo,110,1800000
,,
Togo,111,1800000
,,
Togo,112,1800000
,,
Togo,113,1800000
,,
Togo,114,1800000
,,
Togo,115,1800000
,,
Togo,116,1800000
,,
Togo,117,1800000
,,
Togo,118,1800000
,,
Togo,119,1800000
,,
Togo,120,1800000
,,
Togo,121,1800000
,,
Togo,122,1800000
,,
Togo,123,1800000
,,
Togo,124,1800000
,,
Togo,125,1800000
,,
Togo,126,1800000
,,
Togo,127,1800000
,,
Togo,128,1800000
,,
Togo,129,1800000
,,
Togo,130,1800000
,,
Togo,131,1800000
,,
Togo,132,1800000
,,
Togo,133,1800000
,,
Togo,134,1800000
,,
Togo,135,1800000
,,
Togo,136,1800000
,,
Togo,137,1800000
,,
Togo,138,1800000
,,
Togo,139,1800000
,,
Togo,140,1800000
,,
Togo,141,1800000
,,
Togo,142,1800000
,,
Togo,143,1800000
,,
Togo,144,1800000
,,
Togo,145,1800000
,,
Togo,146,1800000
,,
Togo,147,1800000
,,
Togo,148,1800000
,,
Togo,149,1800000
,,
Togo,150,1800000
,,
Togo,151,1800000
,,
Togo,152,1800000
,,
Togo,153,1800000
,,
Togo,154,1800000
,,
Togo,155,1800000
,,
Togo,156,1800000
,,
Togo,157,1800000
,,
Togo,158,1800000
,,
Togo,159,1800000
,,
Togo,160,1800000
,,
Togo,161,1800000
,,
Togo,162,1800000
,,
Togo,163,1800000
,,
Togo,164,1800000
,,
Togo,165,1800000
,,
Togo,166,1800000
,,
Togo,167,1800000
,,
Togo,168,1800000
,,
Togo,169,1800000
,,
Togo,170,1800000
,,
Togo,171,1800000
,,
Togo,172,1800000
,,
Togo,173,1800000
,,
Togo,174,1800000
,,
Togo,175,1800000
,,
Togo,176,1800000
,,
Togo,177,1800000
,,
Togo,178,1800000
,,
Togo,179,1800000
,,
Togo,180,1800000
,,
Togo,181,1800000
,,
Togo,182,1800000
,,
Togo,183,1800000
,,
Togo,184,1800000
,,
Togo,185,1800000
,,
Togo,186,1800000
,,
Togo,187,1800000
,,
Togo,188,1800000
,,
Togo,189,1800000
,,
Togo,190,1800000
,,
Togo,191,1800000
,,
