country,ShipCount,Ships
,,
China,1,777
,,
China,2,777
,,
China,3,777
,,
China,4,777
,,
China,5,777
,,
China,6,777
,,
China,7,777
,,
Colombia,1,450
,,
Colombia,2,450
,,
Colombia,3,450
,,
Colombia,4,450
,,
India,1,295
,,
India,2,295
,,
Indonesia,1,296
,,
Indonesia,2,296
,,
North Korea,1,450
,,
North Korea,2,450
,,
North Korea,3,450
,,
North Korea,4,450
,,
Russia,1,605
,,
Russia,2,605
,,
Russia,3,605
,,
Russia,4,605
,,
Russia,5,605
,,
Russia,6,605
,,
Sri Lanka,1,275
,,
Sri Lanka,2,275
,,
Sweden,1,316
,,
Sweden,2,316
,,
Sweden,3,316
,,
Thailand,1,292
,,
Thailand,2,292
,,
United States of America,1,484
,,
United States of America,2,484
,,
United States of America,3,484
,,
United States of America,4,484
